,year,day,time,play,park
0,2020,06.02(화),18:30,키움15vs3한화,대전
1,2020,06.03(수),18:30,키움6vs2한화,대전
2,2020,06.04(목),18:30,키움7vs3한화,대전
3,2020,06.05(금),18:30,NC13vs2한화,대전
4,2020,06.06(토),14:00,NC14vs2한화,대전
5,2020,06.07(일),17:00,NC8vs2한화,대전
6,2020,06.09(화),18:30,한화3vs9롯데,사직
7,2020,06.10(수),18:30,한화2vs12롯데,사직
8,2020,06.11(목),18:30,한화0vs5롯데,사직
9,2020,06.12(금),18:30,두산5vs2한화,대전
10,2020,06.13(토),17:00,두산6vs7한화,대전
11,2020,06.14(일),17:00,두산2vs3한화,대전
12,2020,06.16(화),18:30,LG9vs5한화,대전
13,2020,06.17(수),18:30,LG7vs1한화,대전
14,2020,06.18(목),18:30,LG9vs7한화,대전
15,2020,06.19(금),18:30,한화1vs3NC,창원
16,2020,06.20(토),17:00,한화4vs3NC,창원
17,2020,06.21(일),17:00,한화7vs9NC,창원
18,2020,06.23(화),18:30,한화4vs11삼성,대구
19,2020,06.24(수),18:30,한화2vs3삼성,대구
20,2020,06.25(목),18:30,한화9vs2삼성,대구
21,2020,06.26(금),18:30,KT4vs7한화,대전
22,2020,06.27(토),17:00,KT7vs2한화,대전
23,2020,06.28(일),17:00,KT8vs4한화,대전
24,2020,07.01(수),18:30,한화3vs4KIA,광주
25,2020,07.02(목),18:30,한화1vs7KIA,광주
26,2020,07.03(금),18:30,한화1vs2두산,잠실
27,2020,07.04(토),18:00,한화6vs2두산,잠실
28,2020,07.05(일),17:00,한화4vs7두산,잠실
29,2020,07.07(화),18:30,롯데6vs7한화,대전
30,2020,07.08(수),18:30,롯데6vs2한화,대전
31,2020,07.09(목),18:30,롯데5vs3한화,대전
32,2020,07.10(금),18:30,SK5vs6한화,대전
33,2020,07.11(토),18:00,SK5vs3한화,대전
34,2020,07.13(월),18:30,SK2vs4한화,대전
35,2020,07.14(화),18:30,한화2vs7KT,수원
36,2020,07.15(수),18:30,한화7vs3KT,수원
37,2020,07.16(목),18:30,한화1vs4KT,수원
38,2020,07.17(금),18:30,한화0vs8LG,잠실
39,2020,07.18(토),18:00,한화1vs3LG,잠실
40,2020,07.19(일),17:00,한화2vs6LG,잠실
41,2020,07.21(화),18:30,KIA10vs2한화,대전
42,2020,07.22(수),18:30,KIA2vs1한화,대전
43,2020,07.24(금),18:30,SK7vs4한화,대전
44,2020,07.26(일),17:00,SK7vs4한화,대전
45,2020,07.27(월),18:30,SK5vs5한화,대전
46,2020,07.29(수),18:30,한화12vs7삼성,대구
47,2020,07.30(목),18:30,한화1vs2삼성,대구
48,2020,07.31(금),18:30,한화2vs1LG,잠실
49,2020,08.01(토),18:00,한화6vs9LG,잠실
50,2020,08.05(수),18:30,NC5vs8한화,대전
51,2020,08.06(목),18:30,NC4vs1한화,대전
52,2020,08.09(일),17:00,KT6vs3한화,대전
53,2020,08.11(화),18:30,한화7vs5키움,고척
54,2020,08.12(수),18:30,한화2vs3키움,고척
55,2020,08.13(목),18:30,한화3vs6키움,고척
56,2020,08.14(금),18:30,삼성10vs1한화,대전
57,2020,08.15(토),17:00,삼성2vs0한화,대전
58,2020,08.16(일),17:00,삼성2vs3한화,대전
59,2020,08.18(화),18:30,한화3vs9SK,문학
60,2020,08.19(수),18:30,한화6vs26SK,문학
61,2020,08.20(목),18:30,KT3vs0한화,대전
62,2020,08.21(금),18:30,KT1vs5한화,대전
63,2020,08.23(일),17:00,한화4vs3LG,잠실
64,2020,08.24(월),18:30,한화6vs3LG,잠실
65,2020,08.25(화),18:30,한화3vs11NC,창원
66,2020,08.26(수),18:30,한화5vs9NC,창원
67,2020,08.27(목),18:30,삼성0vs7한화,대전
68,2020,08.29(토),18:00,한화7vs9롯데,사직
69,2020,08.30(일),17:00,한화2vs6롯데,사직
70,2020,09.01(화),18:30,한화0vs4두산,잠실
71,2020,09.03(목),18:30,키움6vs5한화,대전
72,2020,09.04(금),18:30,키움1vs7한화,대전
73,2020,09.05(토),17:00,KIA5vs4한화,대전
74,2020,09.06(일),14:00,KIA8vs4한화,대전
75,2020,09.08(화),18:30,한화4vs2삼성,대구
76,2020,09.09(수),15:00,한화4vs4삼성,대구
77,2020,09.09(수),18:30,한화7vs0삼성,대구
78,2020,09.10(목),18:30,SK5vs1한화,대전
79,2020,09.11(금),18:30,SK4vs3한화,대전
80,2020,09.12(토),17:00,한화2vs5KT,수원
81,2020,09.13(일),14:00,한화4vs5KT,수원
82,2020,09.15(화),18:30,LG5vs6한화,대전
83,2020,09.16(수),18:30,LG11vs5한화,대전
84,2020,09.17(목),18:30,한화2vs5키움,고척
85,2020,09.18(금),18:30,한화2vs0키움,고척
86,2020,09.19(토),17:00,한화0vs8KIA,광주
87,2020,09.20(일),14:00,한화11vs3KIA,광주
88,2020,09.22(화),18:30,두산1vs5한화,대전
89,2020,09.23(수),18:30,두산5vs6한화,대전
90,2020,09.24(목),18:30,롯데4vs7한화,대전
91,2020,09.25(금),18:30,롯데5vs6한화,대전
92,2020,09.26(토),17:00,NC13vs1한화,대전
93,2020,09.27(일),14:00,NC5vs4한화,대전
94,2020,09.29(화),18:30,두산7vs3한화,대전
95,2020,09.30(수),14:00,두산0vs10한화,대전
