,이름,타석
0,정근우,234
1,최재훈,200
2,호잉,347
3,송광민,242
4,이성열,337
5,강경학,281
6,이용규,340
7,하주석,292
8,백진우,135
9,정은원,162
10,정근우,234
11,최재훈,200
12,호잉,347
13,송광민,242
14,이성열,337
15,강경학,281
16,이용규,340
17,하주석,292
18,정은원,162
19,정근우,234
20,최재훈,200
21,호잉,347
22,송광민,242
23,이성열,337
24,강경학,281
25,이용규,340
26,하주석,292
27,정은원,162
