Unnamed: 0.1,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2019-06-01,2,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0.304,0.358,0.423,0.781,18,1.28,1.41,0.114
1,2019-06-02,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.303,0.357,0.42,0.777,21,0.94,-0.3,-0.037
2,2019-06-04,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0.297,0.35,0.411,0.761,18,1.44,-1.77,-0.234
3,2019-06-05,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.297,0.352,0.41,0.762,19,1.35,0.93,0.068
4,2019-06-06,2,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0.298,0.354,0.413,0.767,14,1.41,1.68,0.232
5,2019-06-07,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.297,0.353,0.415,0.767,17,0.88,1.22,0.191
6,2019-06-08,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.297,0.355,0.418,0.773,15,1.0,-0.04,0.053
7,2019-06-09,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.29,0.347,0.408,0.755,30,1.88,-2.2,-0.272
8,2019-06-11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.287,0.346,0.403,0.749,16,0.83,-0.32,-0.031
9,2019-06-12,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.285,0.344,0.403,0.747,20,0.81,0.42,0.032
10,2019-06-13,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.288,0.348,0.404,0.752,20,0.94,0.54,0.096
11,2019-06-14,1,2,0,0,0,2,2,1,1,2,0,0,0,0,0,0,0.293,0.355,0.407,0.763,24,1.38,1.25,0.172
12,2019-06-15,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0.296,0.357,0.409,0.766,12,0.78,0.64,0.072
13,2019-06-16,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0.294,0.355,0.405,0.76,19,1.21,-1.01,-0.139
14,2019-06-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.292,0.352,0.402,0.755,8,0.02,-0.44,-0.001
15,2019-06-19,1,2,0,0,1,5,2,0,0,1,0,0,0,0,0,0,0.295,0.356,0.414,0.77,22,1.31,1.57,0.082
16,2019-06-20,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0.29,0.351,0.407,0.758,24,2.79,0.29,0.093
