,연도,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도류,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2019,03-23,2,3,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0.600,0.600,0.600,1.200,21,1.17,0.23,0.014
1,2019,03-24,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,1,0.375,0.400,0.375,0.775,21,0.45,-0.61,-0.003
2,2019,03-26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.300,0.333,0.300,0.633,5,1.15,-1.50,-0.112
3,2019,03-28,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.286,0.313,0.357,0.670,17,1.16,-0.14,-0.057
4,2019,03-29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.235,0.263,0.294,0.557,12,0.85,-1.86,-0.099
5,2019,03-30,2,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.238,0.292,0.286,0.577,21,0.54,-0.19,0.014
6,2019,03-31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.208,0.259,0.250,0.509,14,1.53,-1.21,-0.135
7,2019,04-02,1,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0.214,0.281,0.250,0.531,18,1.05,1.63,0.174
8,2019,04-03,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.241,0.343,0.276,0.619,18,0.89,1.54,0.112
9,2019,04-04,1,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0.219,0.350,0.250,0.600,17,2.98,0.44,0.200
10,2019,04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.189,0.311,0.216,0.527,20,1.12,-1.93,-0.189
11,2019,04-07,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0.214,0.320,0.238,0.558,15,0.77,0.49,0.120
12,2019,04-10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.213,0.309,0.234,0.543,14,0.57,-0.66,-0.043
13,2019,04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.196,0.288,0.216,0.504,10,1.63,-1.21,-0.192
14,2019,04-12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.189,0.279,0.208,0.486,8,1.83,-0.64,-0.090
15,2019,04-13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.185,0.274,0.204,0.478,4,2.89,-0.60,-0.066
16,2019,04-14,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0.175,0.262,0.193,0.455,14,0.99,-1.21,-0.104
17,2019,04-16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.164,0.246,0.180,0.427,15,0.80,-0.66,-0.046
18,2019,04-18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.161,0.243,0.177,0.420,6,3.79,-0.51,-0.086
19,2019,04-30,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.169,0.257,0.185,0.441,10,0.75,-0.31,-0.005
