Unnamed: 0.1,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
42,2019-08-01,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.285,0.347,0.464,0.811,13,1.0,-1.44,-0.109
43,2019-08-03,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.283,0.346,0.46,0.806,15,0.91,-0.56,-0.067
44,2019-08-04,2,2,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0.285,0.347,0.46,0.806,12,0.56,0.64,0.085
45,2019-08-06,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.284,0.346,0.457,0.803,20,0.66,-0.36,-0.062
46,2019-08-07,1,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0.288,0.349,0.459,0.808,20,1.12,1.19,0.15
47,2019-08-08,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.29,0.349,0.458,0.808,12,1.13,0.52,0.075
48,2019-08-09,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.29,0.349,0.458,0.807,11,0.73,-0.37,-0.039
49,2019-08-10,0,1,1,0,0,2,2,0,0,0,0,0,1,1,0,0,0.29,0.348,0.458,0.806,10,1.41,0.7,0.053
50,2019-08-11,2,2,1,0,1,6,2,0,0,0,0,0,0,0,0,0,0.291,0.349,0.467,0.816,16,0.82,0.44,0.101
51,2019-08-13,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.291,0.348,0.465,0.813,16,0.54,-0.22,0.005
52,2019-08-14,1,1,0,0,1,4,4,0,0,0,0,0,1,0,0,0,0.289,0.346,0.469,0.815,13,0.61,0.9,-0.035
53,2019-08-15,1,2,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0.292,0.35,0.47,0.82,10,0.57,0.84,0.086
54,2019-08-16,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.292,0.35,0.472,0.821,8,1.1,-0.08,0.041
55,2019-08-17,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.291,0.348,0.471,0.819,15,0.43,-0.2,0.047
