날짜,단계,승패여부,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2020-06-02,2,0,0,2,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0.288,0.374,0.4,0.774,12,0.45,0.86,0.015
2020-06-03,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.289,0.379,0.398,0.777,17,0.69,0.15,0.016
2020-06-04,3,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.299,0.384,0.414,0.798,16,1.03,0.82,0.124
2020-06-05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.289,0.373,0.4,0.773,11,0.4,-0.56,-0.03
2020-06-06,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.28,0.362,0.387,0.749,14,1.02,-0.8,-0.071
2020-06-07,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.349,0.371,0.72,15,0.49,-1.08,-0.051
2020-06-09,3,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.273,0.351,0.374,0.725,7,0.21,1.39,0.015
2020-06-10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.262,0.339,0.359,0.698,13,0.5,-0.98,-0.048
2020-06-11,3,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.267,0.353,0.362,0.715,16,1.38,1.0,0.106
2020-06-12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.257,0.341,0.349,0.69,13,0.73,-1.01,-0.076
2020-06-13,3,1,1,2,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0.263,0.344,0.36,0.703,23,2.0,1.36,0.33
2020-06-14,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.265,0.348,0.359,0.707,10,0.77,0.31,0.021
2020-06-16,3,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0.264,0.35,0.355,0.706,18,0.45,1.11,0.012
2020-06-17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.256,0.34,0.344,0.684,22,1.23,-1.57,-0.127
2020-06-18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.248,0.331,0.333,0.664,13,1.39,-1.12,-0.117
2020-06-19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242,0.324,0.326,0.65,8,0.84,-0.62,-0.063
2020-06-20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242,0.324,0.326,0.65,0,0.0,0.0,0.0
2020-06-21,2,0,0,2,0,1,0,4,2,0,0,1,0,0,0,0,0,0,0.25,0.333,0.346,0.679,19,1.39,1.63,0.266
2020-06-23,3,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.25,0.335,0.343,0.678,27,0.85,-0.62,-0.062
2020-06-24,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.333,0.34,0.674,22,0.64,-0.56,-0.045
2020-06-25,3,1,1,2,0,1,1,7,4,0,0,1,0,0,1,0,0,0,0.257,0.341,0.378,0.72,25,0.62,2.64,0.236
2020-06-26,3,1,1,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0.263,0.349,0.382,0.73,26,0.69,1.29,0.059
2020-06-27,3,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.266,0.358,0.383,0.741,22,1.2,0.61,0.048
2020-06-28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259,0.35,0.373,0.723,21,1.05,-0.93,-0.088
2020-07-01,2,0,1,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0.272,0.362,0.383,0.745,19,1.07,1.69,0.129
2020-07-02,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0.28,0.376,0.39,0.766,24,0.8,1.35,0.112
2020-07-03,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.274,0.368,0.381,0.749,17,1.65,-1.39,-0.144
2020-07-04,3,1,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.277,0.369,0.382,0.75,21,0.54,0.5,0.105
2020-07-05,2,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.278,0.371,0.381,0.752,21,1.22,0.01,-0.019
2020-07-07,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.271,0.365,0.37,0.736,16,1.67,-1.26,-0.233
2020-07-08,3,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0.273,0.373,0.372,0.744,18,0.63,0.81,0.057
2020-07-09,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,0.364,0.362,0.726,20,1.04,-1.13,-0.141
2020-07-10,3,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0.265,0.367,0.36,0.726,21,1.28,0.91,0.057
2020-07-11,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.266,0.369,0.359,0.728,11,1.67,-0.56,-0.041
2020-07-13,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.263,0.371,0.356,0.727,21,0.95,0.0,0.02
2020-07-14,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.264,0.371,0.355,0.726,16,1.13,-1.02,-0.079
2020-07-15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.369,0.354,0.723,3,0.08,-0.32,-0.002
2020-07-16,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.257,0.363,0.347,0.709,13,1.38,-1.09,-0.114
2020-07-17,3,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.263,0.367,0.351,0.718,15,0.59,0.42,-0.018
2020-07-18,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.261,0.369,0.348,0.717,18,1.24,0.03,0.039
2020-07-19,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.258,0.368,0.344,0.713,12,1.18,-0.04,-0.02
2020-07-21,3,0,1,1,0,0,1,4,2,0,0,1,0,0,0,0,0,0,0.259,0.371,0.358,0.729,18,0.33,1.68,-0.024
2020-07-22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0.256,0.366,0.353,0.72,16,2.6,-1.87,-0.292
2020-07-24,2,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0.257,0.368,0.353,0.721,25,1.0,0.7,0.073
2020-07-26,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.253,0.366,0.348,0.715,18,0.99,-0.72,-0.069
2020-07-27,3,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0.254,0.366,0.353,0.719,16,1.51,0.44,0.193
2020-07-30,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.254,0.368,0.353,0.721,4,4.84,1.0,0.165
2020-07-31,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.254,0.367,0.351,0.718,13,1.7,-0.63,-0.068
2020-08-01,3,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.25,0.364,0.345,0.708,24,0.79,-0.91,-0.055
2020-08-05,4,1,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0.25,0.364,0.343,0.708,25,1.36,-0.04,0.015
2020-08-06,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.251,0.366,0.343,0.709,19,0.72,0.18,0.039
2020-08-09,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.247,0.361,0.337,0.699,17,1.1,-1.32,-0.123
2020-08-11,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.247,0.362,0.336,0.698,28,1.86,-0.27,-0.022
2020-08-12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.246,0.361,0.335,0.695,3,2.32,-0.26,-0.059
2020-08-13,4,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.25,0.362,0.337,0.7,16,1.12,0.45,0.028
2020-08-14,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.248,0.362,0.335,0.697,14,0.25,0.1,-0.016
