날짜,단계,승패여부,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
2020-06-02,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.167,0.375,0.167,0.542,14,0.59,1.08,0.031
2020-06-04,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.125,0.3,0.125,0.425,6,0.89,-0.38,-0.045
2020-06-05,3,0,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0.222,0.364,0.556,0.919,1,0.0,1.6,0.0
2020-06-06,3,0,1,2,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0.308,0.4,0.769,1.169,12,0.49,0.93,0.019
2020-06-07,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0.333,0.625,0.958,14,0.74,-1.35,-0.065
2020-06-18,2,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.3,0.364,0.6,0.964,14,1.22,0.74,0.077
2020-06-19,2,0,1,1,0,0,1,4,1,0,0,0,0,0,3,0,0,0,0.292,0.346,0.667,1.013,14,1.32,0.1,-0.031
2020-06-20,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.259,0.333,0.593,0.926,20,0.67,-1.08,-0.079
2020-06-21,2,0,2,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0.281,0.343,0.563,0.905,20,1.79,1.27,0.106
2020-06-23,3,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0.294,0.359,0.559,0.918,15,1.22,0.22,0.019
2020-06-24,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.27,0.349,0.514,0.862,17,1.07,-1.91,-0.135
2020-07-03,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.244,0.319,0.463,0.783,13,1.35,-1.5,-0.139
2020-07-04,3,1,0,3,2,0,0,5,2,0,0,0,0,0,1,0,0,0,0.283,0.346,0.522,0.868,22,0.69,2.82,0.231
2020-07-05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.321,0.48,0.801,19,1.14,-1.3,-0.118
2020-07-07,3,1,1,2,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0.278,0.333,0.537,0.87,16,1.14,1.1,0.117
2020-07-08,3,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.276,0.328,0.517,0.845,16,0.88,-1.0,-0.112
2020-07-09,4,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.29,0.338,0.532,0.87,19,1.47,1.48,0.213
2020-07-10,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.277,0.333,0.508,0.841,18,1.38,-0.93,-0.032
2020-07-11,3,0,1,1,0,0,1,4,1,0,0,0,0,0,1,0,0,0,0.275,0.329,0.536,0.865,17,1.32,0.23,0.049
2020-07-13,2,1,1,2,0,0,1,5,3,0,0,0,0,0,0,1,0,0,0.288,0.338,0.575,0.913,15,0.89,0.81,0.125
2020-07-14,2,0,1,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.286,0.333,0.571,0.905,13,0.38,-0.06,-0.031
2020-07-15,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.28,0.326,0.549,0.875,19,0.5,-1.09,-0.067
2020-07-16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.267,0.312,0.523,0.835,19,0.76,-0.95,-0.079
2020-07-17,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.258,0.309,0.506,0.815,18,0.53,-0.16,0.014
2020-07-18,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.25,0.307,0.489,0.796,11,1.47,-1.09,-0.143
2020-07-19,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.25,0.304,0.489,0.793,5,3.65,-0.12,0.005
2020-07-21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.24,0.292,0.469,0.761,18,0.29,-1.02,-0.03
2020-07-22,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.232,0.291,0.455,0.745,21,2.0,-0.23,-0.057
2020-07-24,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.232,0.297,0.455,0.752,7,0.94,1.11,0.058
2020-07-26,3,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.235,0.304,0.451,0.755,15,1.21,0.57,0.094
2020-07-27,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.231,0.305,0.442,0.747,17,1.37,-0.17,-0.028
2020-07-29,3,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.227,0.298,0.427,0.726,24,0.7,-1.0,-0.057
2020-07-30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.223,0.294,0.42,0.713,5,0.72,-0.38,-0.037
2020-07-31,4,1,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0.243,0.315,0.435,0.75,10,1.15,1.49,0.127
2020-08-01,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.237,0.313,0.424,0.737,14,1.1,0.37,0.075
2020-08-05,4,1,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0.248,0.321,0.43,0.751,9,0.59,-0.36,0.02
2020-08-06,3,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.256,0.326,0.432,0.758,13,1.02,0.59,0.097
2020-08-09,4,0,1,2,1,0,1,6,2,0,0,1,0,0,0,0,0,1,0.268,0.338,0.472,0.81,20,1.25,1.54,0.109
2020-08-11,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.258,0.331,0.455,0.786,33,2.08,-1.04,-0.225
2020-08-12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.256,0.329,0.451,0.78,6,1.32,-0.12,-0.034
2020-08-13,4,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0.257,0.333,0.449,0.782,18,0.98,0.79,0.09
2020-08-14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,0.329,0.442,0.771,9,0.87,-0.6,-0.048
2020-08-15,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.259,0.333,0.446,0.779,5,0.56,0.13,0.03
