,날짜,시작시간,불쾌지수
0,06.01,18,70
1,06.02,17,75
2,06.03,17,75
3,06.05,18,74
4,06.06,14,77
5,06.07,18,74
6,06.08,18,76
7,06.09,17,75
8,06.10,17,72
9,06.12,18,71
10,06.13,18,73
11,06.14,18,74
12,06.15,18,71
13,06.16,17,73
14,06.17,17,74
15,06.19,18,73
16,06.20,18,73
17,06.21,18,71
18,06.22,18,74
19,06.23,17,74
20,06.24,17,80
21,06.26,18,77
22,06.27,18,78
23,06.28,18,77
24,06.29,18,78
25,06.30,17,74
26,07.03,18,80
27,07.04,18,79
28,07.05,18,79
29,07.06,18,73
30,07.07,18,74
31,07.08,18,76
32,07.10,18,81
33,07.11,18,82
34,07.12,18,82
35,07.17,18,78
36,07.18,18,79
37,07.19,18,79
38,07.20,18,83
39,07.21,18,83
40,07.22,18,82
41,07.24,18,85
42,07.25,18,83
43,07.26,18,84
44,07.27,18,84
45,07.28,18,85
46,07.29,18,81
47,07.31,18,84
48,08.01,18,84
49,08.02,18,85
50,08.04,18,84
51,08.05,18,83
52,08.07,18,83
53,08.08,18,83
54,08.09,18,81
55,08.10,18,81
56,08.11,18,81
57,08.12,18,82
58,08.14,18,80
59,08.16,18,75
60,09.04,18,74
61,09.05,18,73
62,09.06,18,74
63,09.07,18,70
64,09.08,17,73
65,09.09,14,73
66,09.11,18,67
67,09.12,18,69
68,09.13,18,72
69,09.14,18,71
70,09.15,17,76
71,09.16,14,73
72,09.18,18,73
73,09.19,18,72
74,09.20,18,70
75,09.21,18,71
76,09.22,17,71
77,09.23,14,71
78,09.25,14,68
79,09.26,14,68
80,09.27,18,67
81,09.28,18,66
82,09.29,17,72
83,09.30,14,70
