,날짜,시작시간,불쾌지수
0,06.01,17,70
1,06.02,17,72
2,06.04,18,75
3,06.05,18,74
4,06.06,14,76
5,06.07,18,71
6,06.08,17,74
7,06.09,17,74
8,06.11,18,71
9,06.12,18,74
10,06.13,18,74
11,06.14,18,72
12,06.15,17,73
13,06.16,17,73
14,06.18,18,75
15,06.19,18,75
16,06.20,18,76
17,06.21,18,77
18,06.22,17,77
19,06.23,17,77
20,06.25,18,72
21,06.27,18,75
22,06.28,18,77
23,06.30,17,78
24,07.02,18,74
25,07.03,18,75
26,07.04,18,76
27,07.05,18,80
28,07.06,18,78
29,07.07,18,76
30,07.09,18,76
31,07.11,18,75
32,07.12,18,75
33,07.13,18,77
34,07.14,18,78
35,07.16,18,77
36,07.17,18,72
37,07.18,18,76
38,07.26,18,82
39,07.27,18,81
40,07.28,18,81
41,07.30,18,79
42,07.31,18,80
43,08.01,18,80
44,08.03,18,84
45,08.04,17,88
46,08.06,18,84
47,08.07,18,82
48,08.08,18,82
49,08.09,18,83
50,08.10,18,82
51,08.11,17,83
52,08.13,18,88
53,08.14,18,85
54,08.15,18,85
55,08.16,18,82
56,08.17,18,78
57,08.18,17,78
58,08.20,18,81
59,08.22,18,77
60,08.23,18,74
61,08.24,18,76
62,08.25,17,78
63,08.27,18,75
64,08.28,18,75
65,08.30,18,73
66,08.31,18,74
67,09.01,14,77
68,09.03,18,74
69,09.04,18,76
70,09.05,18,75
71,09.06,19,77
72,09.07,17,83
73,09.08,14,80
74,09.10,18,78
75,09.11,18,75
76,09.13,14,74
77,09.14,17,78
78,09.15,14,80
79,09.16,18,71
80,09.17,18,75
81,09.20,18,69
82,09.23,18,68
83,09.25,18,66
84,09.26,18,69
85,09.28,17,74
86,09.29,14,76
87,09.30,18,74
