,이름,타석,생일
0,최재훈,254
1,정진호,169,1988-10-02
2,이용규,338
3,하주석,238
4,송광민,146
5,최진행,219
6,노수광,203
7,김태균,220,1982-05-29
8,정은원,216
9,강경학,179
10,반즈,215
11,노시환,236
12,오선진,157
