,날짜,팀1,팀1 점수,팀2,팀2 점수,승패여부
0,06.02,키움,15,한화,3,0
1,06.03,키움,6,한화,2,0
2,06.04,키움,7,한화,3,0
3,06.05,NC,13,한화,2,0
4,06.06,NC,14,한화,2,0
5,06.07,NC,8,한화,2,0
6,06.09,한화,3,롯데,9,0
7,06.10,한화,2,롯데,12,0
8,06.11,한화,0,롯데,5,0
9,06.12,두산,5,한화,2,0
10,06.13,두산,6,한화,7,1
11,06.14,두산,2,한화,3,1
12,06.16,LG,9,한화,5,0
13,06.17,LG,7,한화,1,0
14,06.18,LG,9,한화,7,0
15,06.19,한화,1,NC,3,0
16,06.20,한화,4,NC,3,1
17,06.21,한화,7,NC,9,0
18,06.23,한화,4,삼성,11,0
19,06.24,한화,2,삼성,3,0
20,06.25,한화,9,삼성,2,1
21,06.26,KT,4,한화,7,1
22,06.27,KT,7,한화,2,0
23,06.28,KT,8,한화,4,0
24,07.01,한화,3,KIA,4,0
25,07.02,한화,1,KIA,7,0
26,07.03,한화,1,두산,2,0
27,07.04,한화,6,두산,2,1
28,07.05,한화,4,두산,7,0
29,07.07,롯데,6,한화,7,1
30,07.08,롯데,6,한화,2,0
31,07.09,롯데,5,한화,3,0
32,07.10,SK,5,한화,6,1
33,07.11,SK,5,한화,3,0
34,07.13,SK,2,한화,4,1
35,07.14,한화,2,KT,7,0
36,07.15,한화,7,KT,3,1
37,07.16,한화,1,KT,4,0
38,07.17,한화,0,LG,8,0
39,07.18,한화,1,LG,3,0
40,07.19,한화,2,LG,6,0
41,07.21,KIA,10,한화,2,0
42,07.22,KIA,2,한화,1,0
43,07.24,SK,7,한화,4,0
44,07.26,SK,7,한화,4,0
45,07.27,SK,5,한화,5,0
46,07.29,한화,12,삼성,7,1
47,07.30,한화,1,삼성,2,0
48,07.31,한화,2,LG,1,1
49,08.01,한화,6,LG,9,0
50,08.05,NC,5,한화,8,1
51,08.06,NC,4,한화,1,0
52,08.09,KT,6,한화,3,0
53,08.11,한화,7,키움,5,1
54,08.12,한화,2,키움,3,0
55,08.13,한화,3,키움,6,0
56,08.14,삼성,10,한화,1,0
57,08.15,삼성,2,한화,0,0
58,08.16,삼성,2,한화,3,1
59,08.18,한화,3,SK,9,0
60,08.19,한화,6,SK,26,0
61,08.20,KT,3,한화,0,0
62,08.21,KT,1,한화,5,1
63,08.23,한화,4,LG,3,1
64,08.24,한화,6,LG,3,1
65,08.25,한화,3,NC,11,0
66,08.26,한화,5,NC,9,0
67,08.27,삼성,0,한화,7,1
68,08.29,한화,7,롯데,9,0
69,08.30,한화,2,롯데,6,0
70,09.01,한화,0,두산,4,0
71,09.03,키움,6,한화,5,0
72,09.04,키움,1,한화,7,1
73,09.05,KIA,5,한화,4,0
74,09.06,KIA,8,한화,4,0
75,09.08,한화,4,삼성,2,1
76,09.09,한화,4,삼성,4,0
77,09.09,한화,7,삼성,0,1
78,09.10,SK,5,한화,1,0
79,09.11,SK,4,한화,3,0
80,09.12,한화,2,KT,5,0
81,09.13,한화,4,KT,5,0
82,09.15,LG,5,한화,6,1
83,09.16,LG,11,한화,5,0
84,09.17,한화,2,키움,5,0
85,09.18,한화,2,키움,0,1
86,09.19,한화,0,KIA,8,0
87,09.20,한화,11,KIA,3,1
88,09.22,두산,1,한화,5,1
89,09.23,두산,5,한화,6,1
90,09.24,롯데,4,한화,7,1
91,09.25,롯데,5,한화,6,1
92,09.26,NC,13,한화,1,0
93,09.27,NC,5,한화,4,0
94,09.29,두산,7,한화,3,0
95,09.30,두산,0,한화,10,1
