날짜,단계,승패여부
6.02,2,0
6.03,3,0
6.04,3,0
6.05,3,0
6.06,3,0
6.07,3,0
6.09,3,0
6.10,2,0
6.11,3,0
6.12,3,0
6.13,3,1
6.14,3,1
6.16,3,0
6.17,2,0
6.18,2,0
6.19,2,0
6.20,2,1
6.21,2,0
6.23,3,0
6.24,2,0
6.25,3,1
6.26,3,1
6.27,3,0
6.28,3,0
7.01,2,0
7.02,2,0
7.03,3,0
7.04,3,1
7.05,2,0
7.07,3,1
7.08,3,0
7.09,4,0
7.10,3,1
7.11,3,0
7.13,2,1
7.14,2,0
7.15,2,1
7.16,3,0
7.17,3,0
7.18,3,0
7.19,3,0
7.21,3,0
7.22,3,0
7.24,2,0
7.26,3,0
7.27,3,0
7.29,3,1
7.30,3,0
7.31,4,1
8.01,3,0
8.05,4,1
8.06,3,0
8.09,4,0
8.11,3,1
8.12,4,0
8.13,4,0
8.14,4,0
8.15,4,0
8.16,4,1
8.18,3,0
8.19,3,0
8.20,4,0
8.21,4,1
8.23,4,1
8.24,4,1
8.25,4,0
8.26,3,0
8.27,4,1
8.29,4,0
8.30,4,0
9.01,4,0
9.03,2,0
9.04,3,1
9.05,3,0
9.06,2,0
9.08,3,1
9.09,3,0
9.09,3,1
9.09,2,0
9.09,2,1
9.10,2,0
9.11,2,0
9.12,2,0
9.13,2,0
9.15,2,1
9.16,2,0
9.17,2,0
9.18,2,1
9.19,2,0
9.20,2,1
9.22,2,1
9.23,2,1
9.24,2,1
9.25,2,1
9.26,2,0
9.27,2,0
9.29,1,0
9.30,1,1
