Unnamed: 0.1,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도루,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2020-07-18,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.25,0.25,0.5,0.75,14,1.4,-0.69,-0.077
1,2020-07-19,0,3,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.875,1.375,10,2.22,1.68,0.265
2,2020-07-21,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.364,0.417,0.636,1.053,14,0.43,-1.01,-0.058
3,2020-07-22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.267,0.313,0.467,0.779,15,1.88,-1.53,-0.197
4,2020-07-24,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.222,0.3,0.389,0.689,12,1.28,-0.62,-0.05
5,2020-07-26,1,2,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0.273,0.333,0.545,0.879,21,0.89,1.61,0.185
6,2020-07-27,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.231,0.286,0.462,0.747,16,1.44,-1.78,-0.182
7,2020-07-29,1,2,0,0,0,2,1,0,0,2,0,0,1,0,0,0,0.267,0.353,0.467,0.82,24,0.55,1.21,0.021
8,2020-07-30,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0.242,0.359,0.424,0.783,22,2.27,-0.23,-0.01
9,2020-07-31,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.243,0.349,0.405,0.754,21,0.62,-0.42,-0.04
10,2020-08-01,0,2,1,0,0,3,1,0,0,1,0,0,1,0,0,0,0.268,0.375,0.439,0.814,21,0.78,1.27,0.005
11,2020-08-05,1,1,1,0,0,2,1,0,0,1,0,0,2,0,0,0,0.267,0.377,0.444,0.822,25,1.39,1.01,0.189
12,2020-08-06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.368,0.417,0.785,16,0.82,-0.59,-0.07
13,2020-08-09,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.235,0.361,0.392,0.753,19,1.29,-0.09,0.002
14,2020-08-11,2,1,0,0,1,4,1,0,0,1,1,0,2,0,0,0,0.236,0.373,0.436,0.809,21,1.56,0.39,0.071
15,2020-08-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0.352,0.407,0.759,12,0.98,-0.64,-0.086
16,2020-08-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.206,0.333,0.381,0.714,18,0.38,-1.15,-0.038
17,2020-08-23,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.212,0.342,0.379,0.721,14,0.61,-0.52,-0.027
18,2020-08-24,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.211,0.333,0.366,0.7,13,1.2,-0.62,0.042
19,2020-08-25,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0.213,0.337,0.36,0.697,23,0.61,-0.45,0.031
