,연도,날짜,타수,득점,안타,2타,3타,홈런,루타,타점,도류,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,투구,avLI,RE24,WPA
0,2018,06-01,2,3,1,0,0,4,1,0,0,1,0,0,1,0,0,0,0.207,0.277,0.259,0.536,20,0.96,2.58,0.033
1,2018,06-02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.200,0.269,0.250,0.519,9,1.31,-1.68,-0.152
2,2018,06-03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.197,0.265,0.246,0.511,8,0.67,-0.30,-0.034
3,2018,06-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.263,0.244,0.507,3,0.67,-0.18,-0.017
4,2018,06-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,0.263,0.244,0.507,0,0.00,0.00,0.000
5,2018,06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0.261,0.242,0.503,6,1.26,-0.38,-0.036
6,2018,06-08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.189,0.261,0.236,0.497,18,0.72,-0.76,-0.059
7,2018,06-09,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.185,0.255,0.231,0.486,11,1.76,-1.34,-0.145
8,2018,06-10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.179,0.248,0.224,0.472,19,0.57,-0.74,-0.056
9,2018,06-12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.179,0.253,0.224,0.477,6,0.16,0.55,0.008
10,2018,06-13,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.190,0.261,0.234,0.495,16,1.00,0.42,0.039
11,2018,06-14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.186,0.261,0.229,0.490,15,0.89,-0.53,-0.030
12,2018,06-15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.186,0.266,0.229,0.494,4,1.19,0.12,0.013
13,2018,06-16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.190,0.269,0.232,0.501,5,1.18,0.14,0.005
14,2018,06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190,0.269,0.232,0.501,0,0.00,0.00,0.000
15,2018,06-20,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.193,0.274,0.234,0.509,18,0.58,0.15,0.034
16,2018,06-21,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.197,0.277,0.245,0.522,10,1.32,0.66,0.088
17,2018,06-22,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.193,0.276,0.240,0.516,26,1.39,-1.41,-0.110
18,2018,06-23,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.199,0.281,0.245,0.526,3,0.07,1.00,0.004
19,2018,06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.199,0.281,0.245,0.526,1,0.45,-0.23,-0.004
20,2018,06-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,0.279,0.243,0.522,3,0.57,-0.26,-0.015
21,2018,06-27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.194,0.274,0.239,0.513,16,0.48,-0.76,-0.038
